# 2023-07-18
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_python,fluent,2,2,0,1,7.081915855407715,1,FALSE,TRUE,2023-12-25T15:11:17.538571
success,dedupe_fluent_nested_withCol,fluent,2,2,0,1,25.707415342330933,1,FALSE,TRUE,2023-12-25T15:11:43.370904
success,dedupe_fluent_windows,fluent,2,2,0,1,14.723369836807251,1,FALSE,TRUE,2023-12-25T15:11:58.225437
success,dedupe_rdd_groupby,rdd,2,2,0,1,7.361128091812134,1,FALSE,TRUE,2023-12-25T15:12:05.720128
success,dedupe_rdd_mappart,rdd,2,2,0,1,7.319827556610107,1,FALSE,TRUE,2023-12-25T15:12:13.164007
success,dedupe_rdd_reduce,rdd,2,2,0,1,7.331759691238403,1,FALSE,TRUE,2023-12-25T15:12:20.621529
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.435338258743286,1,FALSE,TRUE,2023-12-30T11:18:52.580279
success,dedupe_fluent_nested_python,fluent,2,2,0,1,6.733180522918701,1,FALSE,TRUE,2023-12-30T11:18:59.436248
success,dedupe_fluent_nested_withCol,fluent,2,2,0,1,25.406729698181152,1,FALSE,TRUE,2023-12-30T11:19:24.960744
success,dedupe_fluent_windows,fluent,2,2,0,1,14.395800352096558,1,FALSE,TRUE,2023-12-30T11:19:39.482492
success,dedupe_rdd_groupby,rdd,2,2,0,1,7.138030529022217,1,FALSE,TRUE,2023-12-30T11:19:46.749353
success,dedupe_rdd_mappart,rdd,2,2,0,1,7.2217857837677,1,FALSE,TRUE,2023-12-30T11:19:54.096442
success,dedupe_rdd_reduce,rdd,2,2,0,1,7.230281114578247,1,FALSE,TRUE,2023-12-30T11:20:01.453646
