 strategy_name,interface,num_source_rows,elapsed_time,relative_cardinality,engine,finished_at,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.938725,3,dask,2024-10-09T06:01:35.823590,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.916518,3,dask,2024-10-09T06:01:36.885772,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.190004,3,dask,2024-10-09T06:01:37.820733,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.280369,3,dask,2024-10-09T06:01:38.495640,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.253780,3,dask,2024-10-09T06:01:38.893235,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.540857,3,dask,2024-10-09T06:01:46.834306,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.955705,3,dask,2024-10-09T06:01:47.935660,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.283996,3,dask,2024-10-09T06:01:48.363061,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.316349,3,dask,2024-10-09T06:01:48.824038,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.825067,3,dask,2024-10-09T06:01:56.795845,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.313134,3,dask,2024-10-09T06:01:57.253251,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.897544,3,dask,2024-10-09T06:01:58.586103,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.307647,3,dask,2024-10-09T06:01:59.346101,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.678378,3,dask,2024-10-09T06:02:07.168919,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.709923,3,dask,2024-10-09T06:02:15.024138,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.290252,3,dask,2024-10-09T06:02:15.458500,
