 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_ddf_grp_apply,ddf,9,0.053282,9,dask,2024-07-21T10:46:31.885563,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.125497,9,dask,2024-07-21T10:46:32.160105,
vanilla_dask_sql_no_gpu,ddf,9,0.073213,9,dask,2024-07-21T10:46:32.376726,
vanilla_dask_ddf_grp_apply,ddf,90000,0.129305,9,dask,2024-07-21T10:46:32.654987,
vanilla_dask_ddf_grp_udaf,ddf,9,0.085990,9,dask,2024-07-21T10:46:32.886469,
vanilla_dask_ddf_grp_udaf,ddf,90,0.118813,9,dask,2024-07-21T10:46:33.149400,
vanilla_dask_sql_no_gpu,ddf,9000,0.110267,9,dask,2024-07-21T10:46:33.404315,
vanilla_dask_sql_no_gpu,ddf,9000000,0.858483,9,dask,2024-07-21T10:46:34.408809,
vanilla_dask_sql_no_gpu,ddf,90000,0.116611,9,dask,2024-07-21T10:46:34.672524,
vanilla_dask_ddf_grp_udaf,ddf,90,0.117021,9,dask,2024-07-21T10:46:34.933573,
vanilla_dask_ddf_grp_udaf,ddf,900,0.120409,9,dask,2024-07-21T10:46:35.200144,
vanilla_dask_sql_no_gpu,ddf,900,0.102801,9,dask,2024-07-21T10:46:35.448253,
vanilla_dask_ddf_grp_udaf,ddf,900,0.122015,9,dask,2024-07-21T10:46:35.716432,
vanilla_dask_ddf_grp_udaf,ddf,900,0.121991,9,dask,2024-07-21T10:46:35.984954,
vanilla_dask_sql_no_gpu,ddf,900,0.102605,9,dask,2024-07-21T10:46:36.232365,
vanilla_dask_ddf_grp_udaf,ddf,90,0.122916,9,dask,2024-07-21T10:46:36.502148,
vanilla_dask_ddf_grp_udaf,ddf,90,0.116978,9,dask,2024-07-21T10:46:36.763548,
vanilla_dask_sql_no_gpu,ddf,9,0.081069,9,dask,2024-07-21T10:46:37.301496,
vanilla_dask_ddf_grp_apply,ddf,900,0.114739,9,dask,2024-07-21T10:46:37.562519,
